DATE,AREA_BURNED_HA,LOG_AREA_BURNED_HA
1959-04,317.41,2.5029866987535114
1959-05,7515.69,3.8760266396347403
1959-06,0.0,0.0
1959-07,15220.63,4.182461161114029
1959-08,0.0,0.0
1959-09,0.0,0.0
1959-10,0.0,0.0
1959-11,0.0,0.0
1959-12,0.0,0.0
1960-01,0.0,0.0
1960-02,0.0,0.0
1960-03,0.0,0.0
1960-04,0.0,0.0
1960-05,1578.9,3.198629599092019
1960-06,0.0,0.0
1960-07,0.0,0.0
1960-08,0.0,0.0
1960-09,0.0,0.0
1960-10,0.0,0.0
1960-11,0.0,0.0
1960-12,4.04686,0.7030212575629364
1961-01,0.0,0.0
1961-02,0.0,0.0
1961-03,32.374851379220004,1.5234193404302088
1961-04,1017.7843902329801,3.0080822821027122
1961-05,41795.19660263804,4.621136763362594
1961-06,33434.94565333166,4.524213610658873
1961-07,10139.05883038782,4.00604047468555
1961-08,2012.1698566321402,3.303880419044626
1961-09,6.0702846336,0.8494368978582268
1961-10,1562.2282190206402,3.1940223862252175
1961-11,8.0937128448,0.9587412362240716
1961-12,1.2140569267199999,0.3451887830479135
1962-01,0.0,0.0
1962-02,0.0,0.0
1962-03,0.80937128448,0.2575276935904718
1962-04,42.89667807744,1.6424316558406566
1962-05,460.46346430989996,2.6641373220971
1962-06,1160.12447117876,3.064878778092197
1962-07,28.73268059908,1.4732340655086125
1962-08,18.61553954304,1.2926002582897909
1962-09,34.39827959038,1.548982155173784
1962-10,0.40468564224,0.14757914337571743
1962-11,0.80937128448,0.2575276935904718
1962-12,3.23748513792,0.6271081880180642
1963-01,0.0,0.0
1963-02,0.0,0.0
1963-03,229.86144479194002,2.363351409260917
1963-04,112.90729418496001,2.0565515355176283
1963-05,1282.01578662082,3.1082320001006734
1963-06,796.8260295709,2.9019082013328057
1963-07,4986.63765509458,3.6978948950653296
1963-08,108.05106647806,2.037629917170764
1963-09,33.58890830592,1.5389368550413398
1963-10,70.01061610752,1.8513232807227549
1963-11,1.2140569267199999,0.3451887830479135
1963-12,0.40468564224,0.14757914337571743
1964-01,1.61874256896,0.4180928079421622
1964-02,0.40468564224,0.14757914337571743
1964-03,0.80937128448,0.2575276935904718
1964-04,1468.81867907948,3.1672637622772646
1964-05,1583.05334217094,3.1997698021401115
1964-06,2728.41083426078,3.4360689111274016
1964-07,1398.69879784794,3.1460345896024084
1964-08,77.69964331008,1.895972764013257
1964-09,0.80937128448,0.2575276935904718
1964-10,21.44833903872,1.351184212911536
1964-11,1.61874256896,0.4180928079421622
1964-12,8.0937128448,0.9587412362240716
1965-01,0.0,0.0
1965-02,0.0,0.0
1965-03,0.0,0.0
1965-04,19.829596469760002,1.318680856474195
1965-05,387.688845266,2.58960207726894
1965-06,354.58555973055996,2.550944116030819
1965-07,22085.83628412998,4.3441335120351
1965-08,21.04365339648,1.3432835737751556
1965-09,0.0,0.0
1965-10,221.76773194755998,2.347852283216125
1965-11,0.0,0.0
1965-12,0.0,0.0
1966-01,0.0,0.0
1966-02,0.0,0.0
1966-03,0.0,0.0
1966-04,104.81358134015998,2.02454141365894
1966-05,3839.54406159386,3.584392752026647
1966-06,24511.99145902476,4.389396313898805
1966-07,99.9573536332,2.004137958009792
1966-08,4095.4186994648,3.6124043399535766
1966-09,348.4343379686,2.543365579689668
1966-10,381.61856063228,2.5827660336072844
1966-11,0.0,0.0
1966-12,0.40468564224,0.14757914337571743
1967-01,0.0,0.0
1967-02,0.0,0.0
1967-03,0.40468564224,0.14757914337571743
1967-04,8.49839848704,0.9776503856179006
1967-05,2869.90107535998,3.458018227966562
1967-06,1078.76646966278,3.033329837057683
1967-07,1178.99091582016,3.071878663895648
1967-08,3808.81223392138,3.580903572058484
1967-09,1709.63901106084,3.2331583718760046
1967-10,120.59632138744,2.08492043657075
1967-11,1.6187425689600001,0.4180928079421622
1967-12,1.61874256896,0.4180928079421622
1968-01,1.21405692672,0.34518878304791356
1968-02,0.0,0.0
1968-03,2.83279949568,0.5835161007055973
1968-04,623.66104325656,2.7956444221837966
1968-05,433761.15632746695,5.6372516592155515
1968-06,154.18522969348,2.1908503833662603
1968-07,100.76672491776,2.0076057981684636
1968-08,4.85622770688,0.76761795499003
1968-09,0.80937128448,0.2575276935904718
1968-10,0.0,0.0
1968-11,0.0,0.0
1968-12,0.0,0.0
1969-01,0.80937128448,0.2575276935904718
1969-02,0.0,0.0
1969-03,0.0,0.0
1969-04,54.63256170242,1.745329058280044
1969-05,1182.41050949604,3.073135421790639
1969-06,24492.44514253618,4.389049875413114
1969-07,3476.52889993744,3.5412707478750702
1969-08,827.1774527388001,2.9181234025918408
1969-09,10.9265123405,1.0765134618831653
1969-10,172.39608359444,2.2390392840713806
1969-11,36.4217078016,1.5731236033640634
1969-12,0.0,0.0
1970-01,0.0,0.0
1970-02,2.42811385344,0.5350552371425368
1970-03,0.80937128448,0.2575276935904718
1970-04,411.4843610293,2.6154074873164146
1970-05,817.06031168238,2.9127853233110352
1970-06,34565.066730986444,4.538649964031486
1970-07,11400.136181873619,4.056948133172485
1970-08,3364.1315096616,3.5270020411615786
1970-09,9090.093411415779,3.958616120184195
1970-10,20.234282112000002,1.327037582959512
1970-11,21.853024681,1.358943688665561
1970-12,0.0,0.0
1971-01,0.40468564224,0.14757914337571743
1971-02,0.0,0.0
1971-03,2.0234282111999997,0.4804996611014309
1971-04,390.5216447614,2.5927557764593376
1971-05,19106.99788069142,4.281215184442797
1971-06,814.5917292647599,2.911472813044199
1971-07,2108.1693846844,3.3241114587721117
